Container Description,Container Type,Genres,Artists,Play Count,Duration_Hours
Type,PLAYLIST,"African, Afro-Beat, Afrobeats, Alte, Alternative, Bollywood, Dance, Electronic, Hip Hop/Rap, Hip-Hop, House, Indian, Indian Pop, K-Pop, Latin, Latin Urban, Music, Pop, Punjabi, Punjabi Pop, R&B/Soul, Rap, Regional Indian, Soundtrack, Telugu, World","AP Dhillon, Altamash Faridi, Amitabh Bhattacharya, Amitabha Bhattacharya, Anirudh Ravichander, Antara Mitra, Anuel AA, Arijit Singh, Ayanfe Viral, Bad Boy Timz, Catfish and the Bottlemen, Central Cee, Dev Negi, Drake, EVAN GIIA, Feid, Fimiguerrero, Fireboy DML, Frost Children, God Colony, Hasan Raheem, IU, IZ*ONE, Inno Genga, J Balvin, J Hus, JHAYCO, JO YURI, KAROL G, Kapo, Ken Carson, Kep1er, Khaid, Koba LaD, Korede Bello, Krept & Konan, L2B, Len, MEMBA, MHD, Maninder Buttar, Myke Towers, Nasboi, Nikhil D'Souza, Nippa, Porter Robinson, Pritam, Red Velvet, Rema, Sachin-Jigar, Seepi Jha, Shadab Faridi, Shenseea, Shreya Ghoshal, Skepta, Tems, Tiakola, Tory Lanez, Two Door Cinema Club, Vishal Dadlani, Vivek - Mervin, Years & Years, Young Jonn, pH-1",60,2.255643888888889
Type,PLAYLIST,"Bollywood, Hip Hop/Rap, Indian, Music","ADAAM, Amitabha Bhattacharya, Arijit Singh, D-Block Europe, Ghost Killer Track, Kairo Keyz, Sachin-Jigar",3,0.06121666666666667
Type,PLAYLIST,"African, Afrobeats, Alternative, Anime, Bollywood, Dance, Hip Hop/Rap, Indian, J-Pop, K-Pop, Music, Pop, Punjabi, Punjabi Pop, R&B/Soul, Regional Indian, Soundtrack, Telugu, UK Hip Hop, World","A. R. Rahman, AP Dhillon, Aden, Amber, Amitabh Bhattacharya, Anirudh Ravichander, Arijit Singh, Asake, BINI, BLACKPINK, Badshah, Baloji, CAROLE & TUESDAY (Vo. Nai Br.XX & Celeina Ann), Caps, Cherry Bullet, DreamNote, IZ*ONE, Inno Genga, JS x YD, Javed Ali, Kep1er, LANY, Lost Kings, MIYEON, Nafe Smallz, Neha Kakkar, NewJeans, Parmish Verma, Preetinder, Pritam, Rajat Nagpal, Sachin-Jigar, Sheppard, Shilpa Rao, Sreeram, The Weeknd, WOOAH, ewshem",37,0.9581719444444444
Type,PLAYLIST,"African, Afro-Beat, Afro-Pop, Dance, Hip Hop/Rap, J-Pop, K-Pop, Music, Pop, R&B/Soul, Soundtrack","AP Dhillon, Cherry Bullet, IU, IZ*ONE, JO YURI, Kanishk Seth, Kanye West, Kavita Seth, Kep1er, Red Velvet, Skeeny, Skepta, WHITE JAM, WOOAH",14,0.2665675
Type,PLAYLIST,"African, Afrobeats, Bollywood, Hip Hop/Rap, Indian, Indian Pop, K-Pop, Music, Pop, R&B/Soul, Rap","A. R. Rahman, Ammy Virk, Bunty Bains, Fimiguerrero, Javed Ali, NATTY, Simiran Kaur Dhadli, Snakehips, The Weeknd, Young Jonn",7,0.3313405555555556
Type,PLAYLIST,"African, Afrobeats, Hip Hop/Rap, Hip-Hop, Music, Pop, World","Arijit Singh, Badshah, Nasboi, Rema, ewshem, pH-1",6,0.12999527777777778
Type,PLAYLIST,"African, Afro-Beat, Afro-Pop, Afrobeats, Alternative, Anime, Bollywood, Dance, Electronic, Hip Hop/Rap, Indian, Indian Pop, Indie Rock, K-Pop, Latin, Latin Urban, Music, Pop, R&B/Soul, Reggae, Regional Indian, Rock, Soundtrack, Telugu, World","Amitabh Bhattacharya, Anirudh Ravichander, Anuel AA, Arijit Singh, BNXN, Bad Boy Timz, Catfish and the Bottlemen, Cherry Bullet, D-Block Europe, Drake, FUNKIST, Galavant, Ghost Killer Track, Gorillaz, Hailee Steinfeld, Harshdeep, IP Singh, IZ*ONE, Ibeyi, Inno Genga, J Balvin, JHAYCO, JO YURI, Javed Akhtar, KAROL G, Kapo, Korede Bello, MHD, MIYEON, MØ, NSG, Nippa, PARTYNEXTDOOR, Pa Salieu, Prabh Singh, Preetinder, Priesst, Pritam, RAC, Rajat Nagpal, Red Velvet, Rema, Rooh Sandhu, Sachin-Jigar, Sanjoy, Shankar-Ehsaan-Loy, Shenseea, Skillibeng, Snakehips, Swanand Kirkire, Vivek - Mervin, WOOAH, Young Jonn",42,0.892115
Type,PLAYLIST,"African, Afrobeats, Alternative, Anime, Bollywood, Hip Hop/Rap, Indian, Indian Pop, K-Pop, Latin, Latin Urban, Music, Pop, R&B/Soul, Regional Indian, Telugu, World","A. R. Rahman, AP Dhillon, Anirudh Ravichander, BNXN, BTS, BabyTron, Bad Boy Timz, Bankulli, Davido, FUNKIST, Fimiguerrero, IU, Inno Genga, JHAYCO, Javed Ali, Kanishk Seth, Kapo, Kavita Seth, KayMuni, Kehlani, Krept & Konan, Len, Marnz Malone, Not3s, Shenseea, Shubh, Skylar Grey, Tiakola, Wizkid",20,0.6048736111111112
Type,PLAYLIST,"African, Afrobeats, Dance, Hip Hop/Rap, Indian, K-Pop, Music, Pop, Punjabi, Punjabi Pop, R&B/Soul, Regional Indian, Soundtrack","Abdul Hannan, Cherry Bullet, DreamNote, Hasan Raheem, IZ*ONE, Neha Kakkar, Parmish Verma, PinkPantheress, Rema, Shahmeer Raza Khan, Still Fresh, The Weeknd, Tiakola",13,0.3880225
Type,PLAYLIST,"African, Afro-Beat, Afro-Pop, Afrobeats, Anime, Dance, Hip Hop/Rap, Indian, Indian Pop, K-Pop, Music, Pop, R&B/Soul, World","Abdul Hannan, Avelino, Ayanfe Viral, BNXN, BTS, Bad Boy Timz, Cherry Bullet, Craig David, FUNKIST, Fimiguerrero, Hasan Raheem, Keeqaid, Lancey Foux, Len, Oskoow, Pheelz, Preetinder, Rajat Nagpal, Ritviz, STAYC, Shahmeer Raza Khan, Young Jonn, fromis_9",17,0.5621166666666667
