Artist,msPlayed,Duration_Minutes
"Crosby, Stills, Nash & Young",806,0.013433333333333334
Crossfade,587160,9.786
Crowbar,2695,0.04491666666666667
Crystal Lake,537966,8.9661
Currents,1453891,24.231516666666668
Cutting Crew,1087,0.018116666666666666
Cydnee with a C,333119,5.551983333333333
D.O.H. Dollahz Ova Hoez,165665,2.761083333333333
DOWN,1184,0.019733333333333332
Daedric,13771,0.22951666666666667
Damageplan,1902,0.0317
Damian Ukeje,597382,9.956366666666666
Dan Auerbach,427986,7.1331
Dana Fuchs,118773,1.97955
Dance Gavin Dance,76249,1.2708166666666667
Daniel Caesar,3465811,57.76351666666667
Danzig,1181627,19.693783333333332
Dark new Day,8892,0.1482
Darkest Hour,10940,0.18233333333333332
Daron Malakian and Scars On Broadway,2965,0.049416666666666664
Daryl Hall & John Oates,1046136,17.4356
Daughtry,1106,0.018433333333333333
Dave Matthews Band,54770,0.9128333333333334
David Guetta,11935,0.19891666666666666
Dawid Podsiadło,227046,3.7841
Days Of The New,8724,0.1454
Dayshell,848,0.014133333333333333
Dead Air,9711,0.16185
Dead End Irony,271826,4.530433333333334
Dead Icarus,16304,0.2717333333333333
Dead Letter Circus,1653,0.02755
Dead Or Alive,488,0.008133333333333333
Dead Sara,4011,0.06685
Death Cab for Cutie,1991,0.033183333333333336
Decapitated,1607,0.026783333333333333
Deep Purple,3765,0.06275
Def Leppard,6485,0.10808333333333334
Default,1077,0.01795
Deftones,990971,16.516183333333334
Delegation,14269,0.23781666666666668
Demob Happy,626944,10.449066666666667
Derek & The Dominos,624285,10.40475
Destiny Potato,441065,7.351083333333333
Destroy Rebuild Until God Shows,2542,0.042366666666666664
Destroy The Runner,526,0.008766666666666667
Devin Townsend Project,52396,0.8732666666666666
Diecast,1816,0.030266666666666667
Dimebag Darrell,2867,0.04778333333333333
Dio,13279,0.22131666666666666
Dion,3762,0.0627
Dire Straits,245541,4.09235
Dirt Russell,187266,3.1211
Disarmonia Mundi,1894,0.031566666666666666
Disco Lines,9929,0.16548333333333334
Dishwalla,925,0.015416666666666667
Distorted Harmony,2023853,33.73088333333333
Disturbed,828684,13.8114
Don Diablo,52462,0.8743666666666666
Downstait,4673,0.07788333333333333
DragonForce,2272,0.037866666666666667
Dream Theater,969212,16.153533333333332
Dredg,3250,0.05416666666666667
"Drop Dead, Gorgeous",890,0.014833333333333334
Drowning Pool,7956,0.1326
Duncan Sheik,4053,0.06755
Duran Duran,16426,0.27376666666666666
Durand Jones & The Indications,887007,14.78345
Dust For Life,443097,7.38495
Dying Wish,9727912,162.13186666666667
ENEMY AC130 ABOVE,1211,0.020183333333333334
ERRA,61198691,1019.9781833333333
Eagles,1195,0.019916666666666666
Eagles Of Death Metal,1751,0.029183333333333332
Earshot,20948,0.34913333333333335
"Earth, Wind & Fire",1827275,30.454583333333332
Earthside,4555480,75.92466666666667
Eddie Money,1160,0.019333333333333334
Eddie Vedder,5021,0.08368333333333333
Electric Light Orchestra,5111,0.08518333333333333
Elena Siegman,73806,1.2301
Elitist,1064,0.017733333333333334
Eliza Rose,162874,2.714566666666667
Elley Duhé,122241,2.03735
"Emerson, Lake & Palmer",2016071,33.60118333333333
Emery,4262,0.07103333333333334
Empire Of The Sun,396880,6.6146666666666665
Endwell,1830,0.0305
Enter Shikari,2642,0.044033333333333334
Entolim,179426,2.9904333333333333
Eric Clapton,3203,0.05338333333333333
Eric Johnson,168773,2.812883333333333
Etta James,11821,0.19701666666666667
Evanescence,9240,0.154
Evans Blue,976,0.016266666666666665
Eve 6,2211,0.03685
Everclear,12380,0.20633333333333334
Everlast,272365,4.539416666666667
Every Time I Die,1428,0.0238
Eye of the Enemy,206240,3.437333333333333
Eyedress,834,0.0139
Ezra Wood,156368,2.606133333333333
Face Yourself,4129414,68.82356666666666
Fair To Midland,2614,0.04356666666666666
Faith No More,20403,0.34005
Fall Out Boy,3925,0.06541666666666666
Far,190266,3.1711
Farseer,1510532,25.175533333333334
Fastball,934,0.015566666666666666
Fear Factory,486030,8.1005
Feeder,2034,0.0339
Felix Jaehn,171274,2.8545666666666665
Figure 8,313124,5.218733333333334
Filter,161107,2.6851166666666666
Finch,3208,0.05346666666666667
Finger Eleven,10700,0.17833333333333334
Fink,7342,0.12236666666666667
Fitz and The Tantrums,419837,6.997283333333334
Five Finger Death Punch,19034,0.3172333333333333
Flaw,377949,6.29915
Fleetwood Mac,670467,11.17445
Fluf,194142,3.2357
Flyleaf,16129,0.26881666666666665
Foals,379516,6.325266666666667
Foghat,1153,0.019216666666666667
Fomies,4988836,83.14726666666667
Fontaines D.C.,110044,1.8340666666666667
Foo Fighters,11042090,184.03483333333332
Foreigner,24273,0.40455
Forty Feet Tall,992949,16.54915
Foster The People,24641,0.41068333333333334
Four Year Strong,843,0.01405
Frank Sinatra,166503,2.77505
Frank Zappa,1638,0.0273
Frankie Valli,1978591,32.97651666666667
Franz Ferdinand,241500,4.025
From Autumn To Ashes,113747,1.8957833333333334
From First To Last,3354,0.0559
Frost,138520,2.308666666666667
Fuel,538372,8.972866666666667
Funeral For A Friend,7530,0.1255
Funkorama,2960,0.04933333333333333
Fvzz Popvli,194160,3.236
