artistName,msPlayed
Fontaines D.C.,110044
Foo Fighters,11042090
Foreigner,24273
Forty Feet Tall,992949
Foster The People,24641
Four Year Strong,843
Frank Sinatra,166503
Frank Zappa,1638
Frankie Valli,1978591
Franz Ferdinand,241500
From Autumn To Ashes,113747
From First To Last,3354
Frost,138520
Fuel,538372
Funeral For A Friend,7530
Funkorama,2960
Fvzz Popvli,194160
GAI 荄,2758
GAUPA,447680
GIOVANNA,538775
GROUPLOVE,118919
Garbage,5912
Gary Clark Jr.,1048
Geek Music,176919
Genesis,530
Genitorturers,1130
George Harrison,1596
Ghost,5220
Ghost Coach,5153352
Gin Blossoms,904
Girl In a Coma,236360
God Forbid,272115
Godsleep,1628
Godsmack,2055931
Gojira,3671198
Good Tiger,1007049
"Goodnight, Texas",250240
Gorillaz,788929
Gost,1045
Gravemind,891
Graveyard,654
Great Master,267646
Green Day,131516
Greta Van Fleet,29775
Grey Daze,892
Grin,48507
Grocery Bag,401854
"Grover Washington, Jr.",1298478
Guaynaa,19200
Guns N' Roses,257067
Gym Class Heroes,1399
HARU NEMURI,162546
HEALTH,3342
HIMALAYAS,7367
Halestorm,4932
Hardsoul,13719
Harvey Danger,1801
Haste The Day,2741
Hawthorne Heights,31300
He Is Legend,2148
Head Splitter,631
Heart,4866
Heilung,25954
Helion Prime,159830
Helmet,9716
Henret,183943
Henri PFR,156322
Highly Suspect,504143
Hinder,2986
Hippie Death Cult,202666
Hive,194590
Hole,298050
Holy Blade,1045005
Hoobastank,1200142
Hootie & The Blowfish,5859
Hotel Ugly,166028
How To Destroy Angels,1716
Hozier,63905
Hurt,735
Hyper,414007
I Am Ghost,817
I Am Low,401098
I Built the Sky,7363
I Killed The Prom Queen,998
I See Stars,10418
IAMDDB,743022
IDLES,153266
Ihlo,26721378
Ill Niño,1204
Imminence,223198
In Flames,1890
Incubus,11507229
Infraction,1426
Inhaler,285985
Interloper,4534008
Interpol,907
Intervals,4180360
Ions,766772
Iron Maiden,731
Islander,1120
Ismatricule,211937
It Dies Today,1795
J.J. Cale,149598
JEMS!,161825
JVLIAH,998
Jack Johnson,3564
Jack White,2803
Jakub Tirco,58271
Jalen Ngonda,87686
James Brown & The Famous Flames,8288
Jamie's Elsewhere,1122
Jamiroquai,3111
Jane's Addiction,8844
Jar of Blind Flies,991920
Jason Gerosa,383608
Jason Mraz,308229
Jason Richardson,937
Jean-Luc Ponty,35346
Jeff Ament,676
Jericco,1392
Jerry Cantrell,680
Jet,6837
Jethro Tull,2361
Jim Sturgess,19625
Jimi Hendrix,1288817
Jimmy Eat World,4735
Jinjer,10713380
Joe Satriani,2298
Joey Valence & Brae,4202
John Butler Trio,4066
John Frusciante,8235
Johnny Booth,858
Journey,12733
Joy Division,1412
Judas Priest,3851435
KALEO,15049
KC & The Sunshine Band,25208
Kamelot,4981070
Kansas,888209
Karnivool,2158508
Kasabian,2821
Kevin Sherwood,13027
Keygen Church,2696
Kiba,146515
Kid Loco,242800
Kid Rock,2047
Kikagaku Moyo,1749342
KillRadio,162494
Killer Be Killed,3349752
Killswitch Engage,11836689
King Gizzard & The Lizard Wizard,174563
King Harvest,172856
Kingdom Of Giants,2243915
Kings of Leon,13717
Kinobe,287776
Kolm,3065
Kool & The Gang,949263
Korn,1711514
Kris Kross Amsterdam,156290
Kyuss,1288
LANDMVRKS,368770
Labyrinth,156936
Lamb of God,722
Last Train,681
Lathe of Heaven,202760
Latimore,2856
Le Destroy,202200
Le Tigre,672
Led Zeppelin,34090646
Lenny Kravitz,508773
Leprous,1183787
Ley Soul,593771
Liam Gallagher,764
Lifehouse,979
Lifeseeker,313441
Light The Torch,829122
Like Thieves,4754
Limp Bizkit,677224
Linkin Park,1613498
Liquid Tension Experiment,396066
Lit,2777
Little Feat,178419
Live,113645
Livealie,268177
Living Colour,6531427
Lo-Pro,3777
Local H,211304
Lollie,147272
Lone Kodiak,741357
Looking Glass,16226
Lorien Testard,676475
Louis Armstrong,1619
Lowen,206554
Lunatic Calm,1745
Lynyrd Skynyrd,17073
MASSIVE HASSLE,3649214
MASTER BOOT RECORD,126519
MGMT,22084
MONSTERWATCH,2806804
Mac Glocky,186395
Machine Head,440308
Machines Of Loving Grace,676
Mad Hatter,359692
Mad Season,18725
Make Them Suffer,59792513
Malevolence,196715
Mandroid Echostar,3538
Maragda,6262
Marc Teitler,99464
Marcin Przybyłowicz,529687
Marcy Playground,12959
Maribou State,729967
Marilyn Manson,2164
Mark Morrison,3288
Maroon 5,1423
Marvin Gaye,76725
Mastodon,2748975
Matchbox Twenty,9638
Max Sinàl,235538
Meat Puppets,1108
Megadeth,6737689
Memphis May Fire,1003
Men At Work,222594
Meshuggah,1371
Metallica,27047857
Metric,1795
Michael Jackson,1387717
Michael McDonald,19940
Mick Gordon,794495
Ministry,2284
Misfits,2013
Miss May I,453442
Mississippi Twilight,192565
Modest Mouse,234266
Monuments,477950
Moon Soul,800432
Morphine,1296
Mother Mother,547
Motrik,4846570
Motörhead,177190
Mountain,4025
Mudvayne,5159517
Muse,2868273
Mutes,135890
My Chemical Romance,216942
My Life With The Thrill Kill Kult,1781
Måneskin,9487
Mötley Crüe,818192
NOTHING MORE,3436952
NOVA BRUTE,116640
NOVELISTS,498250
Naliyah,206483
Nas,3077
Nathan Dawe,155253
Neil Young,1054
Netherlands,6814226
New Order,619
New Radicals,2579
Nickelback,367968
Nina Simone,1808
Nine Inch Nails,18697729
Nirvana,1898663
No Doubt,5158
NoWorld,150760
Noel Gallagher's High Flying Birds,596
Nonpoint,293179
Northlane,251133
Nothing But Thieves,5150
Novaj,229500
Oasis,2602
Of Mice & Men,5285047
"Oh, Sleeper",1204
Oleander,1950
Olly Steele,1964757
Orbit Culture,1442
Orgy,4483
Outkast,270506
Ov Sulfur,44333
Ozzy Osbourne,1612723
P.O.D.,58671
P.T. Adamczyk,1501747
PARENTS,41333
PSYCHO-FRAME,803320
Panic! At The Disco,4270
Pantera,4618471
Paolo Nutini,4098
Papa Roach,59108
Paramore,684943
Parkway Drive,43424
Pat Benatar,1354
Patrice Rushen,1039500
Paul Anka,941
Paul Engemann,706
Pearl Jam,2481491
Pentatonix,399192
People In Planes,713
Perchard's Wall,485136
Periphery,12759637
Perturbator,264266
Pet Shop Boys,620
Peter Bjorn and John,210526
Peter Cat Recording Co.,964244
PhaseOne,1900655
Phil Collins,2437
Philary,234624
Philip Sayce,306666
Phinehas,1234
Phoebe Killdeer,222490
Phoenix,4223
Pierce The Veil,2193
Pink Floyd,4786685
Pink Fuzz,395473
Placebo,5062
Player,18636
Polaris,1912996
Pop Evil,221651
Porcupine Tree,934809
Porno for Pyros,1317
Powerman 5000,1040
Poylow,156241
Priestess,638
Primus,18240
Prince,2585
Profanatica,54753
Protest The Hero,32150624
Puddle Of Mudd,247430
Pulse Ultra,234600
Puscifer,705994
Quantic,446026
Queen,2094
Queens of the Stone Age,228111
R E L,387316
R.E.M.,34470
RAT BOY,122528
REZN,246106
RUBII,2443236
Racoma,190059
Radiohead,103003
Rage Against The Machine,113305
Rammstein,65193
Rapallo,703684
Ratt,10418
Ray Charles,1087
ReVamp,686
Red Dead Roadkill,790115
Red Hot Chili Peppers,2527319
Red Sun Atacama,214279
